file,Arrow.hs,Bits.hs,Concurrent.hs,Data.hs,Exception.hs,Foldable.hs,IO.hs,Natural.hs,OldList.hs,Show.hs,core_print.clj,core_proxy.clj,debug.rb,erb.rb,genclass.clj,gvec.clj,instant.clj,irb.rb,logger.rb,main.clj,open-uri.rb,open3.rb,repl.clj,rubygems.rb,scanf.rb,set.rb,string.clj,test.clj,time.rb,zip.clj
Arrow.hs,0.013485166317051244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bits.hs,0.9391669711362806,0.010230179028132993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concurrent.hs,0.9530065005417118,0.9318797399783315,0.007313109425785482,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data.hs,0.9595863669937744,0.9510393584467659,0.9486124300939116,0.006964229186451409,,,,,,,,,,,,,,,,,,,,,,,,,,
Exception.hs,0.9287050509249636,0.9203507489952503,0.9005958829902492,0.948928985966023,0.010184992725005197,,,,,,,,,,,,,,,,,,,,,,,,,
Foldable.hs,0.9122270742358078,0.9126781147241505,0.9421722643553629,0.9442861665083887,0.9099979214300561,0.011572052401746726,,,,,,,,,,,,,,,,,,,,,,,,
IO.hs,0.9459255912034945,0.9254405784003615,0.8825839653304443,0.9397488656747917,0.877541798463624,0.9239343274589547,0.00828438017773761,,,,,,,,,,,,,,,,,,,,,,,
Natural.hs,0.948162859980139,0.8995250274022653,0.9463705308775732,0.9491400232140973,0.9418073485600794,0.9249255213505462,0.9355324597077873,0.011519364448857995,,,,,,,,,,,,,,,,,,,,,,
OldList.hs,0.9638121310633929,0.9478997347933955,0.944306613055009,0.9439644109846864,0.9526905637779108,0.9391735820001711,0.9441355120198477,0.9600479082898452,0.005817435195482933,,,,,,,,,,,,,,,,,,,,,
Show.hs,0.9388197076340011,0.9124706731636889,0.9293066088840737,0.9416482009074602,0.9267280274318715,0.9177043854899838,0.9091730682331677,0.9085002707092582,0.9464453759945247,0.010106478974914275,,,,,,,,,,,,,,,,,,,,
core_print.clj,0.9468053491827637,0.9607234198027037,0.9707475622968581,0.97488656747916,0.953647890251507,0.9545851528384279,0.9679168549480344,0.9580933465739822,0.9779279664641971,0.9579498285508031,0.014858841010401188,,,,,,,,,,,,,,,,,,,
core_proxy.clj,0.9474569146700295,0.9451954694921447,0.954225352112676,0.9672892265484858,0.937019330700478,0.9419924337957125,0.9525530953456846,0.9493545183714002,0.9697151167764565,0.9429705829272694,0.9203446826397647,0.011139134089953762,,,,,,,,,,,,,,,,,,
debug.rb,0.9675884626821291,0.9556943205471305,0.9528710725893824,0.9664450775561887,0.9540588760035682,0.9634255129348795,0.9495985727029438,0.9622360987213797,0.9689451621182308,0.9540588760035682,0.968183169788879,0.9620874219446922,0.008920606601248885,,,,,,,,,,,,,,,,,
erb.rb,0.9651857625357235,0.9525850870355936,0.9497272018706158,0.9620132953466287,0.9534944141335412,0.9594699922057678,0.9498571057417511,0.9644063393089114,0.9616733681238772,0.9502468173551571,0.9681735515718368,0.9618082618862042,0.9336191218498311,0.0074045206547155105,,,,,,,,,,,,,,,,
genclass.clj,0.9626926196269262,0.9499864828331982,0.9429575560962422,0.9612746649783687,0.9487699378210327,0.9574209245742092,0.9472830494728305,0.9624222762908894,0.9638121310633929,0.9513381995133819,0.9479589078129224,0.7907542579075426,0.9575560962422276,0.942582488958171,0.007704785077047851,,,,,,,,,,,,,,,
gvec.clj,0.9540627315386515,0.959079283887468,0.9697995666305526,0.974781048855123,0.955102889212222,0.9552401746724891,0.9671637294773309,0.9584905660377359,0.9771580118059714,0.9608373939722071,0.9091133613237836,0.9174022698612863,0.9677371394588166,0.9676539360872954,0.9447147877804812,0.012595702642627809,,,,,,,,,,,,,,
instant.clj,0.9370692238537609,0.9497625137011326,0.96397616468039,0.9706658225176744,0.9461650384535439,0.9475982532751092,0.9603856002410002,0.9547169811320755,0.9737359911027462,0.9516332791914817,0.9209509658246656,0.9401008827238335,0.9623847754980672,0.9599896076903092,0.9551230062178967,0.9380093850333415,0.015151515151515152,,,,,,,,,,,,,
irb.rb,0.9612224778179428,0.9457771935589878,0.9502979414951246,0.9653898913158172,0.9429838974696023,0.9564574433125206,0.9457749661093539,0.9564574433125206,0.9681752074600052,0.9447913243509695,0.9627012816299704,0.9554715741045021,0.9180790960451978,0.9272538321641985,0.9524195728575291,0.9627012816299704,0.9608938547486033,0.009201445941505093,,,,,,,,,,,,
logger.rb,0.9599692070823711,0.9441108545034642,0.942578548212351,0.9608525904822202,0.9387220939183988,0.9502694380292532,0.9368880855550534,0.9551963048498845,0.9634699289930704,0.9404157043879907,0.9607390300230947,0.9541185527328715,0.9198632173654475,0.9171213302156405,0.9472830494728305,0.9607390300230947,0.9578137028483449,0.9147036181678214,0.008314087759815243,,,,,,,,,,,
main.clj,0.949022192924632,0.9430032882718304,0.9520585048754063,0.9654954099398544,0.9324464768239451,0.9395196506550219,0.9466787166741979,0.9517378351539225,0.9678330053896826,0.9429705829272694,0.9103493737640079,0.9098360655737705,0.9491525423728814,0.9488178747726682,0.9311976209786429,0.9290265875631729,0.9244122170951439,0.9365757476174827,0.9407236335642802,0.010986596352450011,,,,,,,,,,
open-uri.rb,0.9638881346728211,0.9473255498235135,0.948943661971831,0.9599029228658859,0.9524843877273962,0.9590008145533533,0.9455606842248168,0.9615802335052946,0.9636410300282316,0.9475970676079283,0.9656530002715178,0.9538419766494706,0.9380939451534075,0.9185502727981294,0.9456609894566099,0.9676893836546294,0.9588650556611458,0.9296768938365463,0.9227531903339669,0.9526201466196036,0.007874015748031496,,,,,,,,,
open3.rb,0.9533245266402466,0.9506759225429302,0.9577464788732394,0.9697161549013401,0.9388900436499689,0.9449781659388646,0.9542099713812321,0.9543197616683218,0.9714261271280691,0.9456776755098357,0.9546455306032585,0.9487179487179487,0.9491525423728814,0.9420628734736295,0.9586374695863747,0.9559665345662703,0.9515631880228974,0.9327965823200789,0.9364126250962279,0.943089430894309,0.9340211783871843,0.010127697049757816,,,,,,,,
repl.clj,0.936044955846936,0.9446474241870662,0.9551733477789816,0.9654954099398544,0.9345250467678238,0.9379912663755459,0.9450218406386504,0.9501489572989077,0.9689451621182308,0.9382782891174878,0.896976184104897,0.9079445145018915,0.9522747546833185,0.9521953754221876,0.9324141659908083,0.9189923437885897,0.9044688252609044,0.9467630627670063,0.9464203233256351,0.8066359041968798,0.9541134944338854,0.939894319682959,0.011774150388011774,,,,,,,
rubygems.rb,0.9741100323624595,0.9589401294498382,0.9517597087378641,0.9599514563106796,0.9593446601941747,0.9672330097087378,0.953782362459547,0.9667273462783171,0.9584224484558131,0.9603559870550162,0.9763349514563107,0.9676375404530745,0.9471076051779935,0.9349716828478964,0.9588389967637541,0.9752224919093851,0.9714805825242718,0.9428600323624595,0.9377022653721683,0.9613673139158576,0.933252427184466,0.9541868932038835,0.9620752427184466,0.005865695792880259,,,,,,
scanf.rb,0.9636671441593958,0.946868081781482,0.9393150149759083,0.9539938799198059,0.9440031254069541,0.9540304727178018,0.9410079437426748,0.9632764682901419,0.9550004277525879,0.937231410339888,0.9656205235056649,0.9558536267743196,0.9371011850501367,0.9145232527929332,0.9443938012762079,0.968094804010939,0.9597603854668577,0.9337153275166037,0.9210834744107306,0.9510352910535226,0.9192603203542128,0.9433519989581977,0.95077484047402,0.9363875404530745,0.007422841515822373,,,,,
set.rb,0.9525878352852286,0.9349652904640117,0.9543607800650055,0.9606415532341458,0.9395542123158293,0.9391764261428032,0.9480343425214641,0.9484321873819418,0.9645820857216186,0.9335859953077061,0.954854552323385,0.9425765017000378,0.9378531073446328,0.9238763315146792,0.9528250878615843,0.9556101246694371,0.9518322629391764,0.9260598093986198,0.9183987682832948,0.9387986399697771,0.928047787130057,0.9221760483566301,0.9387986399697771,0.9447815533980582,0.9333246516473499,0.010578012844729883,,,,
string.clj,0.9370692238537609,0.9473876507124589,0.9608613217768147,0.9700327107734515,0.9372271876948659,0.9410480349344978,0.9560174725109203,0.9535253227408143,0.9707417229874241,0.9460386211875113,0.9054977711738484,0.9258091635140816,0.9623847754980672,0.9558326838139777,0.9456609894566099,0.922449987651272,0.8829201101928374,0.9558001971738416,0.9541185527328715,0.9050758075148319,0.958593537876731,0.9409951563188023,0.8913567032378914,0.9679409385113269,0.9499934887355125,0.9467321496033245,0.014147688060731538,,,
